,ID,ability_IAT,moral_IAT
409,phase_018_subj_21,0.659,0.857
410,phase_018_subj_26,0.652,0.484
411,phase_018_subj_28,0.411,0.774
412,phase_018_subj_3,0.455,0.45
413,phase_018_subj_33,0.132,0.786
414,phase_018_subj_34,-0.076,-0.057
415,phase_018_subj_36,-0.668,-0.299
416,phase_018_subj_38,0.113,0.058
417,phase_018_subj_4,0.487,0.481
418,phase_018_subj_41,0.599,-0.251
419,phase_018_subj_42,0.662,-0.24
420,phase_018_subj_43,0.366,0.063
421,phase_018_subj_44,0.082,0.738
422,phase_018_subj_46,0.712,0.372
423,phase_018_subj_47,0.83,0.926
424,phase_018_subj_48,0.533,0.344
425,phase_018_subj_5,0.784,0.48
426,phase_018_subj_50,0.33,0.509
427,phase_018_subj_51,1.05,-0.49
428,phase_018_subj_53,0.476,0.372
429,phase_018_subj_54,0.694,0.76
430,phase_018_subj_55,0.301,0.349
431,phase_018_subj_56,0.424,1.104
432,phase_018_subj_57,0.609,0.621
433,phase_018_subj_59,0.621,1.032
434,phase_018_subj_6,0.415,0.525
435,phase_018_subj_60,-0.184,0.351
436,phase_018_subj_61,0.037,-0.039
437,phase_018_subj_62,-0.205,0.492
438,phase_018_subj_65,0.129,0.296
439,phase_018_subj_69,0.752,0.647
440,phase_018_subj_70,0.846,0.104
441,phase_018_subj_71,0.406,0.297
442,phase_018_subj_72,0.42,0.571
443,phase_018_subj_73,0.012,-0.081
444,phase_018_subj_74,0.624,0.913
445,phase_018_subj_75,0.19,1.01
446,phase_018_subj_76,0.327,0.511
447,phase_018_subj_77,0.048,0.449
448,phase_018_subj_78,0.079,0.12
449,phase_018_subj_79,0.444,0.637
450,phase_018_subj_8,0.523,0.119
451,phase_018_subj_80,0.005,0.203
452,phase_018_subj_81,0.672,0.017
453,phase_018_subj_82,0.7,0.94
454,phase_018_subj_86,0.296,-0.019
455,phase_018_subj_87,-0.374,0.449
456,phase_018_subj_88,0.501,0.317
457,phase_018_subj_89,1.009,-0.044
458,phase_018_subj_9,0.576,0.66
459,phase_018_subj_97,0.375,0.738
460,phase_018_subj_98,0.312,0.228
461,phase_019_subj_10,-0.173,0.624
462,phase_019_subj_12,0.864,0.756
463,phase_019_subj_13,-0.062,-0.155
464,phase_019_subj_14,0.097,0.89
465,phase_019_subj_15,-0.019,0.507
466,phase_019_subj_16,0.8,0.888
467,phase_019_subj_18,0.407,0.501
468,phase_019_subj_19,0.366,-0.012
469,phase_019_subj_2,0.014,0.164
470,phase_019_subj_20,0.191,0.719
471,phase_019_subj_21,0.4,0.365
472,phase_019_subj_22,0.087,0.491
473,phase_019_subj_23,0.516,0.398
474,phase_019_subj_25,0.233,0.493
475,phase_019_subj_26,0.992,1.088
476,phase_019_subj_27,0.219,0.444
477,phase_019_subj_30,1.046,0.965
478,phase_019_subj_31,0.727,0.77
