Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
冷静,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/24.png,f,material/124.png,f,f,理智,理智,self,self,self,2,2,2,material/24.png,,,,,,,,,,,,,,,,,0,40,40,23,,,,,,,,,,,,,,,4,1.10794091225,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
奸诈,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/42.png,f,material/142.png,f,f,奸诈,阴险,self,self,self,1,1,1,material/142.png,,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,,,,,,,,2,1.35913109779,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
鲁钝,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/50.png,j,material/150.png,j,j,愚笨,愚笨,friend,friend,friend,2,2,2,material/50.png,,,,,,,,,,,,,,,,,0,42,42,49,,,,,,,,,,,,,,,1,1.20028686523,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
诚信,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/5.png,f,material/105.png,f,f,诚信,守信,self,self,self,1,1,1,material/105.png,,,,,,,,,,,,,,,,,0,43,43,4,,,,,,,,,,,,,,,4,1.17552304268,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
犹豫,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/78.png,f,material/181.png,f,f,厌学,草率,self,self,self,2,2,2,material/184.png,,,,,,,,,,,,,,,,,0,44,44,80,,,,,,,,,,,,,,,2,1.20014309883,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
高尚,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/11.png,f,material/111.png,f,f,高尚,高雅,self,self,self,1,1,1,material/111.png,,,,,,,,,,,,,,,,,0,45,45,10,,,,,,,,,,,,,,,2,1.09164404869,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
薄弱,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/82.png,f,material/183.png,f,f,毛糙,窝囊,self,self,self,2,2,2,material/178.png,,,,,,,,,,,,,,,,,0,46,46,82,,,,,,,,,,,,,,,2,0.958962202072,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
孝顺,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/161.png,f,material/164.png,f,f,奉献,勇敢,self,self,self,1,1,1,material/64.png,,,,,,,,,,,,,,,,,0,47,47,63,,,,,,,,,,,,,,,2,1.32503509521,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
廉明,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/13.png,j,material/113.png,j,j,廉明,廉洁,friend,friend,friend,1,1,1,material/113.png,,,,,,,,,,,,,,,,,0,48,48,12,,,,,,,,,,,,,,,4,0.925621032715,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
正义,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/66.png,f,material/66.png,f,f,独立,正义,self,self,self,1,1,1,material/165.png,,,,,,,,,,,,,,,,,0,49,49,84,,,,,,,,,,,,,,,4,1.47455596924,,,,,,,,,moral_self_bias,14,19,59.9559725772,f,001,2018_Apr_02_1505,
