"","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","trap1","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","correct_answer","trap1_item","ID"
"113",119,3,3,4,3,4,4,4,4,4,4,5,4,4,5,4,5,4,4,4,5,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,5,1,2,2,1,2,4,5,5,4,2,NA,"","phase_017_subj_32"
"114",372,4,4,3,3,3,4,4,4,3,4,5,5,3,4,3,5,4,3,4,4,2,1,2,2,2,1,2,2,1,1,0,1,0,1,1,1,0,0,1,0,0,1,1,1,5,2,2,2,1,1,2,4,4,2,1,NA,"","phase_017_subj_88"
"115",280,3,3,3,3,3,3,3,2,3,3,4,3,2,3,4,4,3,3,4,3,2,4,2,4,3,2,3,3,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,1,2,2,3,5,2,1,1,3,1,NA,"","phase_017_subj_64"
"116",454,3,3,3,3,1,3,3,2,3,4,4,2,2,2,3,4,3,2,5,4,2,2,2,1,2,2,1,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,4,4,3,4,4,4,3,2,2,3,NA,"","phase_017_subj_111"
"117",91,3,4,4,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,5,5,2,1,2,2,2,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,2,3,2,5,3,2,1,3,1,NA,"","phase_017_subj_24"
"118",686,2,2,4,3,3,2,3,4,4,4,4,4,5,4,4,4,4,4,2,4,1,2,3,2,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,2,2,3,2,5,1,2,2,NA,3,NA,"","phase_017_subj_163"
"119",582,3,2,2,4,2,2,4,2,3,3,4,4,2,4,3,4,3,2,3,4,2,1,4,2,2,1,2,2,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,4,NA,3,2,5,1,4,5,4,3,2,NA,"","phase_017_subj_143"
"120",674,4,4,3,3,2,3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,4,3,3,3,2,2,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,4,4,2,3,4,2,2,3,2,4,NA,"","phase_017_subj_160"
"121",387,2,2,2,3,2,2,2,3,2,3,3,4,4,2,3,3,3,3,3,4,3,3,2,3,3,2,3,2,4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,4,4,3,4,1,2,4,4,4,3,NA,"","phase_017_subj_93"
"122",23,2,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,4,3,2,3,2,2,3,2,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,4,3,3,3,1,3,2,1,2,2,NA,"","phase_017_subj_2"
"123",694,2,3,2,2,2,3,4,2,2,2,4,1,3,4,3,4,2,1,3,2,4,4,1,3,2,2,5,3,4,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,4,5,3,4,4,4,5,3,4,4,5,NA,"","phase_017_subj_167"
"124",325,3,3,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,4,3,4,4,3,3,2,2,4,3,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,5,4,4,3,3,NA,4,2,3,2,1,NA,"","phase_017_subj_73"
"125",458,3,3,3,3,3,3,3,3,4,4,4,4,3,3,4,4,4,4,5,5,5,4,4,1,2,2,2,3,2,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,4,4,3,4,4,3,4,5,5,5,2,NA,"","phase_017_subj_112"
"126",270,3,2,3,3,2,3,3,3,3,3,3,2,2,3,4,3,2,2,4,3,5,4,4,3,4,4,3,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,5,2,3,NA,4,3,4,3,2,NA,"","phase_017_subj_63"
"127",434,4,3,3,4,3,4,3,2,3,4,4,3,2,3,3,3,4,3,3,4,2,3,2,3,3,1,2,3,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,5,3,4,3,3,4,4,3,3,2,4,NA,"","phase_017_subj_105"
"128",500,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,2,NA,2,4,3,4,2,NA,"","phase_017_subj_124"
"129",384,4,4,3,3,3,4,4,4,3,4,5,4,5,4,4,4,4,4,4,3,2,1,1,2,2,2,2,2,2,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,5,3,3,2,2,3,2,4,4,4,2,NA,"","phase_017_subj_90"
"130",323,4,3,4,3,3,3,4,4,3,4,4,4,3,4,4,5,4,4,3,4,2,1,2,2,2,2,1,2,2,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,4,3,2,2,1,1,2,4,3,4,2,NA,"","phase_017_subj_72"
"131",109,3,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,2,3,3,3,3,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,2,4,3,2,4,1,4,1,3,1,NA,"","phase_017_subj_30"
"132",398,3,4,4,3,4,3,3,4,4,4,4,4,4,3,3,4,3,4,4,4,2,2,2,2,2,2,2,2,2,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,4,2,3,2,3,NA,4,4,3,3,2,NA,"","phase_017_subj_98"
"133",321,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,3,3,2,2,3,2,2,2,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,4,4,4,3,4,NA,5,4,4,2,1,NA,"","phase_017_subj_71"
"134",534,3,3,3,3,2,4,3,2,3,3,4,4,2,4,3,4,3,3,4,4,2,3,2,2,2,2,2,3,3,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,5,2,3,4,5,1,5,3,4,3,3,NA,"","phase_017_subj_129"
