"","ParticipantID","IAT","stimulus","condition","task_id","word","screen_id","rt","RT","response","correct","version_attrib","version_target","version_attrib2","version_target2","ID"
"1",398,NA,"
    <h3>词语分类任务</h3>
    <p>在接下来的任务中，你需要对一系列词语进行分类。<p/>
    请先熟悉这些词语，这有利于你完成接下来的任务。</p>
    <table align=""center"" border=1 cellpadding=3 cellspacing=0>
    <tr> <th>类别</th> <th>词语</th> </tr>
    <tr> <td>&emsp;积极&emsp;</td> <td>&emsp;高尚、诚信、善良、君子、廉正、正直&emsp;</td> </tr>
    <tr> <td>&emsp;消极&emsp;</td> <td>&emsp;缺德、卑鄙、不孝、不仁、小人、黑心&emsp;</td> </tr>
    <tr> <td>&emsp;自我&emsp;</td> <td>&emsp;我、我的、自己、自己的、本人、本人的&emsp;</td> </tr>
    <tr> <td>&emsp;他人&emsp;</td> <td>&emsp;他、他的、别人、别人的、他人、他人的&emsp;</td> </tr>
"85",398,14,"<p style=""color:white; font-size: 35px;"">高尚</p>","positive","moral","高尚","4","695",695,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"86",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","4","809",809,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"87",398,14,"<p style=""color:white; font-size: 35px;"">缺德</p>","negative","moral","缺德","4","622",622,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"88",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","4","712",712,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"89",398,14,"<p style=""color:white; font-size: 35px;"">君子</p>","positive","moral","君子","4","559",559,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"90",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","4","516",516,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"91",398,14,"<p style=""color:white; font-size: 35px;"">善良</p>","positive","moral","善良","4","465",465,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"92",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","4","656",656,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"93",398,14,"<p style=""color:white; font-size: 35px;"">小人</p>","negative","moral","小人","4","557",557,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"94",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","4","558",558,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"95",398,14,"<p style=""color:white; font-size: 35px;"">正直</p>","positive","moral","正直","4","651",651,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"96",398,14,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","4","765",765,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"97",398,14,"<p style=""color:white; font-size: 35px;"">不孝</p>","negative","moral","不孝","4","667",667,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"98",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我</p>","self","moral","我","5","503",503,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"99",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","5","602",602,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"100",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人</p>","self","moral","本人","5","602",602,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"101",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">本人的</p>","self","moral","本人的","5","568",568,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"102",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人的</p>","other","moral","他人的","5","618",618,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"103",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","5","769",769,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"104",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","5","623",623,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"105",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","5","562",562,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"106",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","5","768",768,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"107",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","5","583",583,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"108",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己的</p>","self","moral","自己的","5","491",491,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"109",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","5","744",744,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"110",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他</p>","other","moral","他","5","450",450,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"111",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人的</p>","other","moral","别人的","5","691",691,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"112",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他的</p>","other","moral","他的","5","654",654,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
"113",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">我的</p>","self","moral","我的","5","430",430,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"114",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">自己</p>","self","moral","自己","5","691",691,"i","true",NA,NA,NA,NA,"phase_013_subj_17"
"115",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">他人</p>","other","moral","他人","5","541",541,"i","false",NA,NA,NA,NA,"phase_013_subj_17"
"116",398,15,"<p style=""color:rgb(150, 250, 100); font-size: 35px;"">别人</p>","other","moral","别人","5","817",817,"e","true",NA,NA,NA,NA,"phase_013_subj_17"
