"","ParticipantID","Sex","Word","Word2","task_id","screen_id","Image","condition","word","identity","response","responses","correct_response","rt","correct","domain","valence","person","con","ID"
"6803",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","1173",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6804",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","860",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6805",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好我","nonmatch","j","nonmatch","j","1153",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6806",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","917",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6807",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","853",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6808",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好他","nonmatch","j","nonmatch","j","994",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6809",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","952",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6810",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏我","nonmatch","j","nonmatch","j","887",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6811",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏我","nonmatch","null","null","j","null",NA,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6812",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏他","nonmatch","j","nonmatch","j","950",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6813",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","816",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6814",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","j","nonmatch","f","926",0,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6815",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏我","nonmatch","j","nonmatch","j","847",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6816",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","866",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6817",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","817",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6818",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏他","nonmatch","j","nonmatch","j","989",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6819",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","1015",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6820",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","坏他","nonmatch","j","nonmatch","j","913",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
"6821",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","951",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6822",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","992",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6823",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","坏我","nonmatch","j","nonmatch","j","889",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6824",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏他","nonmatch","j","nonmatch","j","935",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6825",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","坏我","match","f","match","f","960",1,"moral","negative","self","moral_self_match","phase_003_subj_8"
"6826",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好他","nonmatch","j","nonmatch","j","1048",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6827",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","j","nonmatch","f","911",0,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6828",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好他","match","f","match","f","1141",1,"moral","positive","friend","moral_friend_match","phase_003_subj_8"
"6829",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","j","nonmatch","f","919",0,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6830",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好我","nonmatch","j","nonmatch","j","992",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6831",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好我","match","f","match","f","1099",1,"moral","positive","self","moral_self_match","phase_003_subj_8"
"6832",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","1048",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6833",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏我","nonmatch","j","nonmatch","j","901",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6834",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","好他","nonmatch","j","nonmatch","j","943",1,"moral","negative","friend","moral_friend_nonmatch","phase_003_subj_8"
"6835",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","triangle","坏他","坏他","match","f","match","f","854",1,"moral","negative","friend","moral_friend_match","phase_003_subj_8"
"6836",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","pentagon","好我","好他","nonmatch","j","nonmatch","j","1193",1,"moral","positive","self","moral_self_nonmatch","phase_003_subj_8"
"6837",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","diamond","坏我","好我","nonmatch","j","nonmatch","j","925",1,"moral","negative","self","moral_self_nonmatch","phase_003_subj_8"
"6838",396,"Male","[""好他"",""好我"",""坏我"",""坏他""]","[""强他"",""强我"",""弱我"",""弱他""]","ALT2","moral","circle","好他","好我","nonmatch","j","nonmatch","j","982",1,"moral","positive","friend","moral_friend_nonmatch","phase_003_subj_8"
