Block1_Old,Num_Source3,Num_Source2,Num_Source1,valence1,valence2,valence3,Num_Old2,Corr_S1,Num_Old1,Corr_S3,Corr_S2,Block3_Old,Block2_Old,Source_2,Source_3,Source_1,domain3,domain2,domain1,Num_Old3,math,Num_All2,valence_all1,All_Words3,Num_All1,valence_all2,Num_All3,All_Words1,valence_all3,Corr_Rec2,Corr_Rec3,Corr_Rec1,domian_all3,domian_all2,domian_all1,All_Words2,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,block_resp_1.keys,block_resp_1.rt,words_rating.keys,words_rating.rt,block_resp_2.keys,block_resp_2.rt,Rec_resp.keys,Rec_resp.corr,Rec_resp.rt,Source_resp.keys,Source_resp.corr,Source_resp.rt,expName,participant,Age,frameRate,Sex,session,date,
迷糊,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/51.png,j,material/151.png,j,j,糊涂,糊涂,friend,friend,friend,2,2,2,material/51.png,,,,,,,,,,,,,,,,,0,47,47,50,,,,,,,,,,,,,,,1,1.09123706818,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
卑鄙,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/37.png,j,material/137.png,j,j,卑鄙,无耻,friend,friend,friend,1,1,1,material/137.png,,,,,,,,,,,,,,,,,0,48,48,36,,,,,,,,,,,,,,,1,0.808542966843,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
冷血,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/35.png,f,material/135.png,f,f,冷血,冷漠,self,self,self,1,1,1,material/135.png,,,,,,,,,,,,,,,,,0,49,49,34,,,,,,,,,,,,,,,1,0.975470066071,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
仗义,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/63.png,f,material/166.png,f,f,正义,文明,self,self,self,1,1,1,material/66.png,,,,,,,,,,,,,,,,,0,50,50,65,,,,,,,,,,,,,,,4,1.27455091476,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
博爱,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/1.png,f,material/101.png,f,f,博爱,善良,self,self,self,1,1,1,material/101.png,,,,,,,,,,,,,,,,,0,51,51,0,,,,,,,,,,,,,,,5,0.65794801712,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
鲁钝,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/50.png,j,material/150.png,j,j,愚笨,愚笨,friend,friend,friend,2,2,2,material/50.png,,,,,,,,,,,,,,,,,0,52,52,49,,,,,,,,,,,,,,,2,1.00910902023,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
白痴,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/49.png,j,material/149.png,j,j,痴呆,痴呆,friend,friend,friend,2,2,2,material/49.png,,,,,,,,,,,,,,,,,0,53,53,48,,,,,,,,,,,,,,,1,0.942484140396,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
勇敢,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/165.png,j,material/161.png,j,j,平等,独立,friend,friend,friend,1,1,1,material/61.png,,,,,,,,,,,,,,,,,0,54,54,60,,,,,,,,,,,,,,,5,1.57475686073,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
缺德,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/38.png,j,material/138.png,j,j,缺德,无德,friend,friend,friend,1,1,1,material/138.png,,,,,,,,,,,,,,,,,0,55,55,37,,,,,,,,,,,,,,,1,0.793259143829,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
好问,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,1,1,1,material/29.png,f,material/129.png,f,f,好学,好学,self,self,self,2,2,2,material/29.png,,,,,,,,,,,,,,,,,0,56,56,28,,,,,,,,,,,,,,,5,1.40899515152,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
笨蛋,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/48.png,j,material/148.png,j,j,愚蠢,愚蠢,friend,friend,friend,2,2,2,material/48.png,,,,,,,,,,,,,,,,,0,57,57,47,,,,,,,,,,,,,,,1,1.03364801407,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
可恶,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/34.png,f,material/134.png,f,f,可恶,可恨,self,self,self,1,1,1,material/134.png,,,,,,,,,,,,,,,,,0,58,58,33,,,,,,,,,,,,,,,1,0.975728988647,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
机敏,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/18.png,j,material/118.png,j,j,敏锐,敏锐,friend,friend,friend,2,2,2,material/18.png,,,,,,,,,,,,,,,,,0,59,59,17,,,,,,,,,,,,,,,5,0.841887950897,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
机变,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/70.png,j,material/168.png,j,j,全面,全面,friend,friend,friend,2,2,2,material/70.png,,,,,,,,,,,,,,,,,0,60,60,67,,,,,,,,,,,,,,,4,0.992368936539,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
无情,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/172.png,f,material/175.png,f,f,无情,浮夸,self,self,self,1,1,1,material/175.png,,,,,,,,,,,,,,,,,0,61,61,74,,,,,,,,,,,,,,,1,0.791601896286,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
不义,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/173.png,j,material/174.png,j,j,不义,黑心,friend,friend,friend,1,1,1,material/174.png,,,,,,,,,,,,,,,,,0,62,62,73,,,,,,,,,,,,,,,1,0.825621128082,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
超群,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,1,1,1,material/27.png,j,material/127.png,j,j,卓越,卓越,friend,friend,friend,2,2,2,material/27.png,,,,,,,,,,,,,,,,,0,63,63,26,,,,,,,,,,,,,,,5,1.30539107323,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
厌学,material/instr2_2.png,material/instr2_2.png,material/instr2_2.png,2,2,2,material/182.png,j,material/184.png,j,j,健忘,才尽,friend,friend,friend,2,2,2,material/80.png,,,,,,,,,,,,,,,,,0,64,64,83,,,,,,,,,,,,,,,1,0.858835935593,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
盲目,material/instr2_1.png,material/instr2_1.png,material/instr2_1.png,2,2,2,material/55.png,f,material/155.png,f,f,盲从,盲从,self,self,self,2,2,2,material/55.png,,,,,,,,,,,,,,,,,0,65,65,54,,,,,,,,,,,,,,,1,1.50834584236,,,,,,,,,moral_self_bias,22,19,60.0107021344,m,001,2018_Apr_02_1741,
